,Case 3-I,,Case 3-STF,,Case 3-WCSF,,Case 4-I,,Case 4-STF,
Heading,Hs,Vw,Hs,Vw,Hs,Vw,Hs,Vw,Hs,Vw
[deg],[m],[m/s],[m],[m/s],[m],[m/s],[m],[m/s],[m],[m/s]
0,4.95,18.1,4.95,18.1,4.95,18.1,4.95,18.1,4.95,18.1
10,4.95,18.1,4.95,18.1,4.95,18.1,4.95,18.1,4.95,18.1
20,4.95,18.1,4.95,18.1,4.95,18.1,4.95,18.1,4.95,18.1
30,4.95,18.1,4.95,18.1,4.95,18.1,4.95,18.1,4.95,18.1
40,4.95,18.1,4.95,18.1,4.38,18,4.95,18.1,4.95,18.1
50,4.38,18,4.95,18.1,3.79,17.5,4.38,18,4.95,18.1
60,4.95,18.1,4.95,18.1,2.56,15.7,4.95,18.1,4.95,18.1
70,4.95,18.1,4.95,18.1,2.56,15.7,4.95,18.1,4.38,18
80,4.95,18.1,4.26,17.7,2.52,15.6,4.95,18.1,4.38,18
90,4.95,18.1,3.61,17.4,1.97,13.9,4.95,18.1,4.38,18
100,4.95,18.1,3.46,17.2,1.99,14,4.95,18.1,3.79,17.5
110,4.95,18.1,3.2,16.8,1.42,11.5,4.95,18.1,3.52,17.3
120,4.38,18,2.98,16.5,2.26,14.9,4.38,18,3.35,17
130,4.38,18,3.12,16.7,2.3,15,4.95,18.1,3.52,17.3
140,4.38,18,3.28,16.9,2.91,16.4,4.95,18.1,3.79,17.5
150,4.95,18.1,3.52,17.3,4.22,17.9,4.95,18.1,4.05,17.6
160,4.95,18.1,3.79,17.5,4.95,18.1,4.95,18.1,4.38,18
170,4.95,18.1,4.05,17.6,4.38,18,4.95,18.1,4.38,18
180,4.95,18.1,4.22,17.9,4.95,18.1,4.95,18.1,4.38,18
190,4.95,18.1,4.05,17.6,4.38,18,4.95,18.1,4.38,18
200,4.95,18.1,3.79,17.5,4.95,18.1,4.95,18.1,4.38,18
210,4.95,18.1,3.52,17.3,4.95,18.1,4.95,18.1,4.05,17.6
220,4.38,18,3.28,16.9,4.26,17.7,4.95,18.1,3.61,17.4
230,4.38,18,3.05,16.6,3.28,16.9,4.95,18.1,3.46,17.2
240,4.38,18,2.98,16.5,2.65,15.9,4.38,18,3.35,17
250,4.38,18,3.05,16.6,2.56,15.7,4.95,18.1,3.46,17.2
260,4.95,18.1,3.41,17.1,2.65,15.9,4.95,18.1,3.79,17.5
270,4.95,18.1,3.79,17.5,2.86,16.3,4.95,18.1,3.41,17.1
280,4.95,18.1,4.27,17.8,2.91,16.4,4.95,18.1,4.26,17.7
290,4.95,18.1,4.26,17.7,2.86,16.3,4.95,18.1,4.22,17.9
300,4.95,18.1,4.38,18,2.75,16.1,4.95,18.1,4.22,17.9
310,4.95,18.1,4.95,18.1,3.61,17.4,4.95,18.1,4.95,18.1
320,4.95,18.1,4.95,18.1,4.38,18,4.95,18.1,4.95,18.1
330,4.95,18.1,4.95,18.1,4.95,18.1,4.95,18.1,4.95,18.1
340,4.95,18.1,4.95,18.1,4.95,18.1,4.95,18.1,4.95,18.1
350,4.95,18.1,4.95,18.1,4.95,18.1,4.95,18.1,4.95,18.1
360,4.95,18.1,4.95,18.1,4.95,18.1,4.95,18.1,4.95,18.1
